,,,,,," $ 838,633,288.92 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
4035/25,ANTICIPO,0," $ 116,817,340.57 ",MAYO,NO,,,,,,,,,,
5423/25,CERTIFICADO,1," $ 151,851,654.77 ",JULIO,SI,,,,,,,,,,
6002/25,CERTIFICADO,2," $ 67,478,520.96 ",AGOSTO,NO,,,,,,,,,,
6641/25,CERTIFICADO,3," $ 25,023,087.72 ",SEPTIEMBRE,NO,,,,,,,,,,
S/EXT,CERTIFICADO,4," $ 18,999,820.16 ",OCTUBRE,NO,,,,,,,,,,
,,," $ 228,318,769.41 ",,,,,,,,,,,,
N° EXP.,BASICO/ SEP 24,N°, NUEVA COMISARIA - EL CAIMAN - SAN MIGUEL ,81.91%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 368,575,207.89 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3156/25,CERTIFICADO,1," $ 9,435,564.88 ",ABRIL,NO,,,,,,,,,,
3969/25,CERTIFICADO,2," $ 25,227,768.45 ",MAYO,NO,,,,,,,,,,
4418/25,CERTIFICADO,3," $ 8,388,978.65 ",JUNIO,NO,,,,,,,,,,
5175/25,CERTIFICADO,4," $ 59,059,172.88 ",JULIO,NO,,,,,,,,,,
6051/25,CERTIFICADO,5," $ 6,870,721.46 ",AGOSTO,NO,,,,,,,,,,
6610/25,CERTIFICADO,6," $ 92,336,377.83 ",SEPTIEMBRE,NO,,,,,,,,,,
6610/25,CERTIFICADO,7," $ 10,014,963.44 ",OCTUBRE,NO,,,,,,,,,,
,,," $ 211,333,547.59 ",,,,,,,,,,,,
N° EXP.,BASICO/ SEP 24,N°, POLIDEPORTIVO PALMAR GRANDE - GRAL PAZ ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 436,728,515.42 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3993/25,CERTIFICADO,1," $ 40,764,352.91 ",MAYO,NO,,,,,,,,,,
4422/25,CERTIFICADO,2," $ 208,532,325.69 ",JUNIO,NO,,,,,,,,,,
5352/25,CERTIFICADO,3," $ 56,413,282.19 ",JULIO,NO,,,,,,,,,,
,,," $ 305,709,960.79 ",,,,,,,,,,,,
N° EXP.,BASICO/ SEP 24,N°, ADICONAL N°1 - PINTURA - POLIDEPORTIVO PALMAR GRANDE - GRAL PAZ ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 48,643,501.02 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
,CERTIFICADO,1," $ 48,643,501.02 ",SEPTIEMBRE,NO,,,,,,,,,,
N° EXP.,BASICO/ DIC 24,N°, RED DE AGUA Y CLOACA - CC RIPIO Y BADEN 15 VIV - BONPLAND ,89.24%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 629,203,929.33 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3991/25,CERTIFICADO,1," $ 218,642,795.02 ",MAYO,NO,,,,,,,,,,
4721/25,CERTIFICADO,2," $ 69,433,947.34 ",JUNIO,NO,,,,,,,,,,
5260/25,CERTIFICADO,3," $ 145,098,386.79 ",JULIO,NO,,,,,,,,,,
,CERTIFICADO,4," $ 44,097,509.78 ",AGOSTO,NO,,,,,,,,,,
,,," $ 477,272,638.93 ",,,,,,,,,,,,
N° EXP.,BASICO/ SEP 24,N°, CONST. TINGLADO P/DEPÓSITO - ANFITEATRO COCOMAROLA - CAPITAL ,91.34%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 316,625,774.43 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3222/25,CERTIFICADO,1,,FEBRERO,SI,,,,,,,,,,
3222/25,CERTIFICADO,2," $ 28,291,295.83 ",MARZO,NO,,,,,,,,,,
3222/25,CERTIFICADO,3," $ 27,378,696.79 ",ABRIL,NO,,,,,,,,,,
3992/25,CERTIFICADO,4," $ 3,873,754.84 ",MAYO,NO,,,,,,,,,,
4591/25,CERTIFICADO,5," $ 9,203,645.00 ",JUNIO,NO,,,,,,,,,,
5177/25,CERTIFICADO,6," $ 925,819.00 ",JULIO,NO,,,,,,,,,,
,CERTIFICADO,7," $ 7,282,903.73 ",AGOSTO,NO,,,,,,,,,,
6609/25,CERTIFICADO,8," $ 10,560,210.40 ",SEPTIEMBRE,NO,,,,,,,,,,
,,," $ 87,516,325.59 ",,,,,,,,,,,,
N° EXP.,BASICO/ DIC 24,N°, NUEVO POLIDEPORTIVO - CONCEPCIÓN ,63.36%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 565,642,500.64 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3313/25,ANTICIPO,0," $ 84,846,375.10 ",JUNIO,NO,,,,,,,,,,
5239/25,ANTICIPO,0," $ 56,564,250.06 ",JULIO,NO,,,,,,,,,,
,CERTIFICADO,1," $ 268,803,904.38 ",SEPTIEMBRE,NO,,,,,,,,,,
,CERTIFICADO,2," $ 51,882,104.53 ",OCTUBRE,NO,,,,,,,,,,
,,," $ 462,096,634.07 ",,,,,,,,,,,,
N° EXP.,BASICO/ FEB 25,N°, PAVIMENTO - CALLE LOLA MORA - AV. ARTIGAS -CALLAO - B°IND Y ALUSTIZA - MONTE CASEROS ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 1,015,534,628.24 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
4593/25,ANTICIPO,0," $ 203,106,925.65 ",JUNIO,NO,,,,,,,,,,
5345/25,CERTIFICADO,1," $ 344,007,035.14 ",JULIO,NO,,,,,,,,,,
