GEC S.A.,,,,,,,,,,,,,,
MOySP - UNIDAD DE ARQUITECTURA HOSPITALARIA ,,,,,,,,,,MONTO CONTRATO $ 325.940.769.50,,,,"$ 325,940,769.50"
CERTIFICADOS DE OBRA - HOSPITAL ROBINSON 2DA ETAPA - MONTE CASEROS - CORRIENTES,,,,,,,,,,,,,,15.03%
CERTIF.  N°,MES, MONTO  ,EXTE Nº,UBICACIÓN,UBICACIÓN,UBICACIÓN ,,FACT.,% AVANCE,UBICACIÓN EXTE-,,,,"$ 48,988,897.66"
ANTICIPO FINANCIERO,,,,,,,,,,,,,,
CERTIFICADO DE REDET. N° 10 - AVANCE BASADO EN CERT. DE OBRA N° 11,NOVIEMBRE," $ 65,569,459.58 ",140-4262/24,,,,,NO,NO,El expediente número: 106140000-004262/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 30-12-2024 y hora 11:12 AM,,,,
CERTIFICADO DE OBRA N° 12,DICIEMBRE," $ 28,098,701.84 ",140-4260/24,,,,,NO,NO,COBRADO,,,,
CERTIFICADO DE REDET. N° 11 - AVANCE BASADO EN CERT. DE OBRA N° 12,DICIEMBRE," $ 77,216,220.75 ",140-4333/24,,,,,NO,NO,COBRADO,,,,
CERTIFICADO DE OBRA N° 13,ENERO," $ 28,107,502.27 ",140-316/25,,,,,NO,NO,COBRADO,,,,
CERTIFICADO DE REDET. N° 12 - AVANCE BASADO EN CERT. DE OBRA N° 13,ENERO," $ 80,905,228.14 ",140-317/25,,,,,NO,NO,COBRADO,,,,
CERTIFICADO DE OBRA N° 14,FEBRERO," $ 31,991,738.41 ",140-567/25,,,,,NO,NO,,,,,
CERTIFICADO DE REDET. N° 13 - AVANCE BASADO EN CERT. DE OBRA N° 14,FEBRERO," $ 92,090,862.49 ",140-568/25,,,,,NO,NO,,,,,
CERTIFICADO DE OBRA N° 15,FEBRERO," $ 28,534,158.75 ",140-881/25,,,,,NO,NO,COBRADO,,,,
CERTIFICADO DE REDET. N° 14 - AVANCE BASADO EN CERT. DE OBRA N° 15,MARZO," $ 82,137,193.20 ",140-882/25,,,,,NO,88.32%,COBRADO,,,,
CERTIFICADO DE OBRA N° 16,ABRIL," $ 44,097,830.43 ",140-1227/25,,,,,NO,100.00%,,,,,
CERTIFICADO DE REDET. N° 15 - AVANCE BASADO EN CERT. DE OBRA N° 16,ABRIL," $ 126,932,082.84 ",140-1228/25,,,,,NO,100.00%,COBRADO,,,,
,TOTAL COBRADO," $ 419,180,435.06 ",,,,,,,,,,,,
,TOTAL PENDIENTE PAGO," $ 281,701,265.22 ",,,,,,,,,,,,
,TOTAL FACTURADO A AL FECHA," $ 419,180,435.06 ",,,,,,,,,,,,
REDETERMINACIONES,,,,,,,,,,,,,,
OBRA BASICA - MONTO CONTRATO,"$ 325,940,769.50",May-23,,,,,,,,,,,,
2/27/24,"$ 262,093,587.93",Nov-23,140-5521/23,,,,,,,,,,,
2/27/24,"$ 218,651,596.55",Dec-23,140-0218/24,,,,,,,,,,,
6/7/24,"$ 176,532,443.49",Mar-24,140-0217/24,,,,,,,,,,,
6/6/24,"$ 1,008,349.72",Mar-24,140-1671/24 adicional,,,,,,,,,,,
8/8/24,"$ 94,669,088.16",May-24,140-2057/24,,,,,,,,,,,
,"$ 752,955,065.85",,,,,,,,,,,,,
MAS OBRA BASICA,"$ 1,078,895,835.35",,,,,,,,,,,,,
NO ES CERT DE REDET. DE PRECIOS - ES REDETERMINACION SE PAGA SEGÚN AVANCE DE OBRA DEL ADICIONAL DE OBRA N° 1,MAYO,,140-1671/24,,,,,,,El expediente número: 106140000-001671/2024 en estado: Recibido se encuentra en la oficina UNIDAD DE ARQUITECTURA HOSPITALARIA de UNIDAD DE ARQUITECTURA HOSPITALARIA dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 05-06-2024 y hora 12:06 PM,,,,
,,,,,,,,,,,,MONTO CONTRATO,,"$ 1,189,080,665.00"
GEC S.A.,,,,,,,,,,,,ADICIONAL DE OBRA N° 1,,"$ 227,872,029.67"
MOySP - UNIDAD DE ARQUITECTURA HOSPITALARIA ,,,,,,,,,,"MONTO CONTRATO $ 1.189.080.665,00",,AUMENTO,,19.16%
CERTIFICADOS DE OBRA - HOSPITAL ROBINSON 2DA ETAPA - TRABAJOS COMPLEMENTARIOS - MONTE CASEROS - CORRIENTES,,,,,,,,,,,,,,
CERTIF.  N°,MES, MONTO  ,EXTE Nº,UBICACIÓN,UBICACIÓN,UBICACIÓN ,,FACT.,% AVANCE,UBICACIÓN EXTE-,,,,
CERTIFICADO ANTICIPO FINANCIERO,FEBRERO," $ 178,362,099.80 ",140-451/25,,,,,si,15.00%,COBRADO,,,,
CERTIFICADO DE OBRA N° 1,FEBRERO,"$ 62,217,694.51",140-606/25,,,,,si,6.16%,COBRADO,,,,
CERTIFICADO DE OBRA N° 2,MARZO,"$ 105,068,356.64",140-818/25,,,,,si,10.39%,COBRADO,,,,
CERTIFICADO DE REDET. N° 1 - AVANCE BASADO EN CERT. DE OBRA N° 2,MARZO,"$ 25,332,648.34",140-937/25,,,,,si,10.39%,COBRADO,10.39%,,,
CERTIFICADO DE OBRA N° 3,ABRIL,"$ 131,433,842.22",140-1225/25,,,,,si,13.01%,COBRADO,,,,
CERTIFICADO DE REDET. N° 2 - AVANCE BASADO EN CERT. DE OBRA N° 3,ABRIL,"$ 19,905,030.45",140-1226/25,,,,,si,13.01%,COBRADO,13.01%,,,44.37%
CERTIFICADO DE OBRA N° 4,MAYO,"$ 147,663,604.23",140-1576/25,,,,,si,14.60%,COBRADO,,,,
CERTIFICADO DE REDET. N° 3 - AVANCE BASADO EN CERT. DE OBRA N° 4,MAYO,"$ 35,943,601.44",140-1577/25,,,,,si,14.60%,COBRADO,14.60%,,,"$ 527,564,777.83"
CERTIFICADO DE OBRA N° 5,JUNIO,"$ 253,473,709.41",140-1882/25,,,,,si,33.93%,COBRADO,,,,
CERTIFICADO DE REDET. N° 4 - AVANCE BASADO EN CERT. DE OBRA N° 5,JUNIO,"$ 65,214,010.68",140-1881/25,,,,,si,33.93%,COBRADO,33.93%,,,"$ 678,966,446.77"
CERTIFICADO DE OBRA N° 6,JULIO,"$ 211,205,696.79",140-2196/25,,,,,si,21.91%,COBRADO,,,,
CERTIFICADO DE REDET. N° 5 - AVANCE BASADO EN CERT. DE OBRA N° 6,JULIO,"$ 49,551,235.52",140-2197/25,,,,,si,21.91%,COBRADO,,,,
CERTIFICADO DE OBRA N° 7,AGOSTO,"$ 99,655,661.45",140-2551/25,,,,,si,100.00%,COBRADO,,,,
CERTIFICADO DE REDET. N° 6 - AVANCE BASADO EN CERT. DE OBRA N° 7,AGOSTO,"$ 40,886,984.18",140-2550/25,,,,,si,100.00%,El expediente número: 106140000-002550/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS DE LA DIR. DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 06-10-2025 y hora 12:42 PM,,,,
CERTIFICADO DE REDET. N° 7 - AVANCE BASADO EN CERT. DE OBRA N° 7,AGOSTO,"$ 17,314,909.58",140-3183/25,,,,,NO,100.00%,El expediente número: 106140000-003183/2025 en estado: Derivado pendiente de recibir se encuentra en la oficina UNIDAD DE ARQUITECTURA HOSPITALARIA de UNIDAD DE ARQUITECTURA HOSPITALARIA dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 30-10-2025 y hora 10:20 AM,ultimo,,,
,TOTAL PENDIENTE PAGO,"$ 140,542,645.63",,,,,,,100.00%,,,,,
ADICIONAL DE OBRA TOTAL,ABRIL,"$ 227,872,029.67",140-1204/25,,,,,NO,19.16%,,,,,
CERTIFICADO DE OBRA N° 1 - DEL ADICIONAL DE OBRA N° 1,MAYO,"$ 53,271,923.08",140-1486/25,,,,,si,23.38%,COBRADO,,,,
CERTIFICADO DE OBRA N° 2 - DEL ADICIONAL DE OBRA N° 1,JUNIO,"$ 105,210,794.83",140-1880/25,,,,,si,46.17%,COBRADO,,,,
CERTIFICADO DE OBRA N° 3 - DEL ADICIONAL DE OBRA N° 1,JULIO,"$ 68,887,993.29",140-2403/25,,,,,si,30.45%,COBRADO,,,,
CERTIFICADO DE OBRA N° 4 - DEL ADICIONAL DE OBRA N° 1,AGOSTO,"$ 501,318.47",140-2549/25,,,,,NO,100.00%,El expediente número: 106140000-002549/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS DE LA DIR. DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 06-10-2025 y hora 12:42 PM,,,,
,TOTAL PENDIENTE PAGO,"$ 501,318.47",,,,,,,100.00%,,,,,
,TOTAL COMPLETO,"$ 141,043,964.10",,,,,,,,,,,,
HOSPITAL ROBINSON 2DA ETAPA - TRABAJOS COMPLEMENTARIOS - MONTE CASEROS - CORRIENTES,, MONTO  ,,,,,,,,,,,,
OBRA BASICA,,"$ 1,189,080,665.00",,,,,,,,,,,,
REDETERMINACION OBRA BASICA,,"$ 246,118,975.21",,,,,,,,,,,,
ADICIONAL 1,,"$ 227,872,029.67",,,,,,,,,,,,
TOTAL AUTORIZADO,,"$ 1,663,071,669.88",,,,,,,,,,,,
